week_date,region,platform,segment,customer_type,transactions,sales,week_number,month_number,calendar_year,age_band,demographic,avg_transaction
2020-07-13,USA,Retail,C2,New,25914,869174,29,7,2020,Middle Aged,Couples,33.54
2020-07-27,USA,Retail,unknown,New,21426,909661,31,7,2020,unknown,unknown,42.46
2020-07-06,OCEANIA,Retail,C3,New,144017,4559185,28,7,2020,Retirees,Couples,31.66
2020-07-20,OCEANIA,Retail,F1,New,38806,1256163,30,7,2020,Young Adults,Families,32.37
2020-07-20,USA,Shopify,F3,New,53,7925,30,7,2020,Retirees,Families,149.53
2020-05-25,USA,Shopify,C2,Existing,1488,270166,22,5,2020,Middle Aged,Couples,181.56
2020-06-22,CANADA,Retail,unknown,Guest,408450,11567284,26,6,2020,unknown,unknown,28.32
2020-04-27,USA,Retail,unknown,New,23148,961876,18,4,2020,unknown,unknown,41.55
2020-03-23,USA,Retail,unknown,New,22703,1072428,13,3,2020,unknown,unknown,47.24
2019-08-26,ASIA,Retail,unknown,Existing,27697,1146717,35,8,2019,unknown,unknown,41.40
2019-06-03,USA,Shopify,F3,New,65,10211,23,6,2019,Retirees,Families,157.09
2019-08-12,ASIA,Shopify,C3,Existing,1588,303535,33,8,2019,Retirees,Couples,191.14
2019-04-08,OCEANIA,Shopify,C4,New,47,6676,15,4,2019,Retirees,Couples,142.04
2019-07-01,OCEANIA,Retail,unknown,Guest,2460815,64099223,27,7,2019,unknown,unknown,26.05
2019-05-13,EUROPE,Retail,unknown,Guest,106983,3572228,20,5,2019,unknown,unknown,33.39
2019-04-22,USA,Retail,unknown,New,23766,1047250,17,4,2019,unknown,unknown,44.07
2018-08-20,USA,Retail,unknown,New,19398,872771,34,8,2018,unknown,unknown,44.99
2018-08-13,EUROPE,Retail,unknown,New,3380,154160,33,8,2018,unknown,unknown,45.61
2018-03-26,CANADA,Shopify,C4,New,7,1154,13,3,2018,Retirees,Couples,164.86
2018-08-06,AFRICA,Shopify,C2,Existing,1371,279484,32,8,2018,Middle Aged,Couples,203.85
2018-08-06,OCEANIA,Shopify,unknown,Guest,5557,1015664,32,8,2018,unknown,unknown,182.77
2018-03-26,SOUTH AMERICA,Shopify,F2,New,6,873,13,3,2018,Middle Aged,Families,145.50
2018-03-26,ASIA,Retail,F1,New,30044,1011432,13,3,2018,Young Adults,Families,33.67
2018-03-26,OCEANIA,Retail,F3,Existing,433305,25388649,13,3,2018,Retirees,Families,58.59
2018-03-26,AFRICA,Shopify,F2,New,186,29999,13,3,2018,Middle Aged,Families,161.28
2018-03-26,CANADA,Retail,unknown,Guest,456449,12133134,13,3,2018,unknown,unknown,26.58
2018-03-26,USA,Shopify,F3,Existing,752,168817,13,3,2018,Retirees,Families,224.49
2018-03-26,CANADA,Retail,unknown,Existing,6938,350417,13,3,2018,unknown,unknown,50.51
2018-03-26,CANADA,Shopify,F1,Existing,371,68811,13,3,2018,Young Adults,Families,185.47
2018-03-26,AFRICA,Retail,F1,Existing,85585,5026054,13,3,2018,Young Adults,Families,58.73
2018-03-26,ASIA,Retail,C3,Existing,187742,8967057,13,3,2018,Retirees,Couples,47.76
2018-03-26,ASIA,Shopify,unknown,Guest,2091,336688,13,3,2018,unknown,unknown,161.02
2018-03-26,SOUTH AMERICA,Shopify,C3,Existing,54,12457,13,3,2018,Retirees,Couples,230.69
2018-03-26,AFRICA,Retail,C2,Existing,82495,3886146,13,3,2018,Middle Aged,Couples,47.11
2018-03-26,EUROPE,Shopify,F1,New,6,1402,13,3,2018,Young Adults,Families,233.67
2018-03-26,ASIA,Retail,C2,New,72058,2008197,13,3,2018,Middle Aged,Couples,27.87
2018-03-26,USA,Retail,C2,New,22889,833006,13,3,2018,Middle Aged,Couples,36.39
2018-03-26,AFRICA,Retail,unknown,New,61875,2567272,13,3,2018,unknown,unknown,41.49
2018-03-26,USA,Shopify,F1,Existing,980,199685,13,3,2018,Young Adults,Families,203.76
2018-03-26,SOUTH AMERICA,Shopify,F1,New,3,677,13,3,2018,Young Adults,Families,225.67
2018-03-26,ASIA,Retail,F3,New,81842,2673553,13,3,2018,Retirees,Families,32.67
2018-03-26,CANADA,Shopify,C3,New,48,7672,13,3,2018,Retirees,Couples,159.83
2018-05-14,OCEANIA,Shopify,unknown,New,356,60652,20,5,2018,unknown,unknown,170.37
2018-03-26,ASIA,Retail,F1,Existing,82004,4158055,13,3,2018,Young Adults,Families,50.71
2018-03-26,CANADA,Retail,F1,Existing,22675,1329773,13,3,2018,Young Adults,Families,58.64
2018-03-26,USA,Shopify,unknown,Guest,1304,243347,13,3,2018,unknown,unknown,186.62
2018-03-26,OCEANIA,Retail,C3,Existing,263034,13862433,13,3,2018,Retirees,Couples,52.70
2018-03-26,USA,Retail,C1,Existing,47218,2219869,13,3,2018,Young Adults,Couples,47.01
2018-03-26,AFRICA,Retail,unknown,Existing,28284,1340918,13,3,2018,unknown,unknown,47.41
2018-03-26,CANADA,Retail,C3,Existing,47500,2602065,13,3,2018,Retirees,Couples,54.78
2018-03-26,EUROPE,Shopify,unknown,New,5,2072,13,3,2018,unknown,unknown,414.40
2018-03-26,OCEANIA,Shopify,F1,Existing,2600,507428,13,3,2018,Young Adults,Families,195.16
2018-03-26,OCEANIA,Retail,F3,New,102905,3661289,13,3,2018,Retirees,Families,35.58
2018-03-26,ASIA,Shopify,F1,New,127,18195,13,3,2018,Young Adults,Families,143.27
2018-03-26,USA,Shopify,unknown,Existing,91,18246,13,3,2018,unknown,unknown,200.51
2018-03-26,EUROPE,Retail,C1,New,4376,138612,13,3,2018,Young Adults,Couples,31.68
2018-03-26,ASIA,Shopify,C1,Existing,685,110402,13,3,2018,Young Adults,Couples,161.17
2018-03-26,OCEANIA,Retail,C2,New,89801,2640811,13,3,2018,Middle Aged,Couples,29.41
2018-03-26,USA,Retail,F1,New,10708,457257,13,3,2018,Young Adults,Families,42.70
2018-03-26,AFRICA,Retail,F3,New,61622,2388435,13,3,2018,Retirees,Families,38.76
2018-03-26,ASIA,Retail,C3,New,107881,3417717,13,3,2018,Retirees,Couples,31.68
2018-03-26,ASIA,Shopify,C2,New,214,28212,13,3,2018,Middle Aged,Couples,131.83
2018-03-26,AFRICA,Shopify,F1,Existing,1447,277453,13,3,2018,Young Adults,Families,191.74
2018-03-26,ASIA,Retail,F3,Existing,306138,16007398,13,3,2018,Retirees,Families,52.29
