drg_definition,year,ttl_discharges,yoy_discharges,medicare_payment_ratio,medicare_segment,avg_hospital_charged,yoy_hos_charged,avg_patient_paid,yoy_patient_paid,avg_medicare_covered,yoy_medicare_covered
054 - NERVOUS SYSTEM NEOPLASMS W MCC,2014,6079,,0.81,High Medicare Dependency,46744.46,,11745.74,,9514.29,
054 - NERVOUS SYSTEM NEOPLASMS W MCC,2015,7297,20.04,0.8,Moderate Medicare Dependency,47657.92,1.95,11326.24,-3.57,9099.09,-4.36
490 - BACK & NECK PROC EXC SPINAL FUSION W CC/MCC OR DISC DEVICE/NEUROSTIM,2014,12767,,0.82,High Medicare Dependency,59808.22,,14596.51,,11992.14,
546 - CONNECTIVE TISSUE DISORDERS W CC,2014,675,,0.8,Moderate Medicare Dependency,47034.41,,13472.79,,10715.71,
546 - CONNECTIVE TISSUE DISORDERS W CC,2015,662,-1.93,0.78,Moderate Medicare Dependency,45625.07,-3.0,12322.42,-8.54,9571.95,-10.67
895 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W REHABILITATION THERAPY,2014,9196,,0.89,High Medicare Dependency,16740.54,,8641.42,,7675.95,
895 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W REHABILITATION THERAPY,2015,8714,-5.24,0.89,High Medicare Dependency,17282.71,3.24,8587.14,-0.63,7629.9,-0.6
896 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,2014,2090,,0.87,High Medicare Dependency,41913.42,,12837.38,,11185.9,
896 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,2015,2432,16.36,0.83,High Medicare Dependency,44605.86,6.42,12987.07,1.17,10786.11,-3.57
180 - RESPIRATORY NEOPLASMS W MCC,2014,11722,,0.86,High Medicare Dependency,53228.78,,12996.97,,11213.96,
180 - RESPIRATORY NEOPLASMS W MCC,2015,11712,-0.09,0.85,High Medicare Dependency,55772.43,4.78,13127.13,1.0,11104.34,-0.98
256 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,2014,24,,0.79,Moderate Medicare Dependency,31644.5,,11284.0,,8958.5,
256 - UPPER LIMB & TOE AMPUTATION FOR CIRC SYSTEM DISORDERS W CC,2015,73,204.17,0.84,High Medicare Dependency,33223.56,4.99,14700.18,30.27,12327.29,37.6
262 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,2014,16,,0.89,High Medicare Dependency,32556.0,,8615.0,,7703.0,
262 - CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT W/O CC/MCC,2015,43,168.75,0.81,High Medicare Dependency,57506.98,76.64,10455.56,21.36,8417.44,9.27
