"travel_code","user_code","hotel_name","city","state","stay_duration","price","total","checkin_date","checkout_date"
0,0,"Hotel A","Florianopolis ","SC",4,"313.02","1252.08","2019-09-26","2019-09-30"
2,0,"Hotel K","Salvador ","BH",2,"263.41","526.82","2019-10-10","2019-10-12"
7,0,"Hotel K","Salvador ","BH",3,"263.41","790.23","2019-11-14","2019-11-17"
11,0,"Hotel K","Salvador ","BH",4,"263.41","1053.64","2019-12-12","2019-12-16"
13,0,"Hotel A","Florianopolis ","SC",1,"313.02","313.02","2019-12-26","2019-12-27"
15,0,"Hotel BD","Natal ","RN",2,"242.88","485.76","2020-01-09","2020-01-11"
22,0,"Hotel Z","Aracaju ","SE",2,"208.04","416.08","2020-02-27","2020-02-29"
29,0,"Hotel AU","Recife ","PE",4,"312.83","1251.32","2020-04-16","2020-04-20"
32,0,"Hotel AF","Sao Paulo ","SP",2,"139.1","278.2","2020-05-07","2020-05-09"
33,0,"Hotel K","Salvador ","BH",4,"263.41","1053.64","2020-05-14","2020-05-18"
34,0,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2020-05-21","2020-05-24"
38,0,"Hotel BD","Natal ","RN",2,"242.88","485.76","2020-06-18","2020-06-20"
39,0,"Hotel K","Salvador ","BH",1,"263.41","263.41","2020-06-25","2020-06-26"
42,0,"Hotel BW","Campo Grande ","MS",3,"60.39","181.17","2020-07-16","2020-07-19"
43,0,"Hotel K","Salvador ","BH",4,"263.41","1053.64","2020-07-23","2020-07-27"
45,0,"Hotel BD","Natal ","RN",1,"242.88","242.88","2020-08-06","2020-08-07"
51,0,"Hotel K","Salvador ","BH",1,"263.41","263.41","2020-09-17","2020-09-18"
53,0,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2020-10-01","2020-10-03"
54,0,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2020-10-08","2020-10-11"
55,0,"Hotel A","Florianopolis ","SC",2,"313.02","626.04","2020-10-15","2020-10-17"
57,0,"Hotel Z","Aracaju ","SE",4,"208.04","832.16","2020-10-29","2020-11-02"
60,0,"Hotel Z","Aracaju ","SE",4,"208.04","832.16","2020-11-19","2020-11-23"
65,0,"Hotel CB","Rio de Janeiro ","RJ",1,"165.99","165.99","2020-12-24","2020-12-25"
73,0,"Hotel BP","Brasilia ","DF",4,"247.62","990.48","2021-02-18","2021-02-22"
81,0,"Hotel BD","Natal ","RN",4,"242.88","971.52","2021-04-15","2021-04-19"
86,0,"Hotel AF","Sao Paulo ","SP",3,"139.1","417.3","2021-05-20","2021-05-23"
87,0,"Hotel AU","Recife ","PE",1,"312.83","312.83","2021-05-27","2021-05-28"
90,1,"Hotel AF","Sao Paulo ","SP",1,"139.1","139.1","2019-10-03","2019-10-04"
92,1,"Hotel BP","Brasilia ","DF",1,"247.62","247.62","2019-10-17","2019-10-18"
100,2,"Hotel CB","Rio de Janeiro ","RJ",4,"165.99","663.96","2019-10-31","2019-11-04"
101,2,"Hotel BW","Campo Grande ","MS",3,"60.39","181.17","2019-11-07","2019-11-10"
105,2,"Hotel Z","Aracaju ","SE",4,"208.04","832.16","2019-12-05","2019-12-09"
108,2,"Hotel AU","Recife ","PE",3,"312.83","938.49","2019-12-26","2019-12-29"
109,2,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2020-01-02","2020-01-04"
110,2,"Hotel K","Salvador ","BH",1,"263.41","263.41","2020-01-09","2020-01-10"
112,2,"Hotel AF","Sao Paulo ","SP",4,"139.1","556.4","2020-01-23","2020-01-27"
116,2,"Hotel BW","Campo Grande ","MS",4,"60.39","241.56","2020-02-20","2020-02-24"
117,2,"Hotel AU","Recife ","PE",2,"312.83","625.66","2020-02-27","2020-02-29"
119,2,"Hotel K","Salvador ","BH",2,"263.41","526.82","2020-03-12","2020-03-14"
122,2,"Hotel A","Florianopolis ","SC",4,"313.02","1252.08","2020-04-02","2020-04-06"
124,2,"Hotel Z","Aracaju ","SE",3,"208.04","624.12","2020-04-16","2020-04-19"
125,2,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2020-04-23","2020-04-25"
135,2,"Hotel CB","Rio de Janeiro ","RJ",1,"165.99","165.99","2020-07-02","2020-07-03"
137,2,"Hotel A","Florianopolis ","SC",3,"313.02","939.06","2020-07-16","2020-07-19"
150,2,"Hotel Z","Aracaju ","SE",2,"208.04","416.08","2020-10-15","2020-10-17"
153,2,"Hotel BW","Campo Grande ","MS",4,"60.39","241.56","2020-11-05","2020-11-09"
156,2,"Hotel BP","Brasilia ","DF",2,"247.62","495.24","2020-11-26","2020-11-28"
160,2,"Hotel BW","Campo Grande ","MS",2,"60.39","120.78","2020-12-24","2020-12-26"
165,2,"Hotel BD","Natal ","RN",3,"242.88","728.64","2021-01-28","2021-01-31"
177,2,"Hotel Z","Aracaju ","SE",2,"208.04","416.08","2021-04-22","2021-04-24"
180,2,"Hotel BW","Campo Grande ","MS",3,"60.39","181.17","2021-05-13","2021-05-16"
187,2,"Hotel Z","Aracaju ","SE",3,"208.04","624.12","2021-07-01","2021-07-04"
188,2,"Hotel AF","Sao Paulo ","SP",2,"139.1","278.2","2021-07-08","2021-07-10"
189,2,"Hotel K","Salvador ","BH",4,"263.41","1053.64","2021-07-15","2021-07-19"
192,2,"Hotel A","Florianopolis ","SC",4,"313.02","1252.08","2021-08-05","2021-08-09"
197,2,"Hotel A","Florianopolis ","SC",3,"313.02","939.06","2021-09-09","2021-09-12"
201,2,"Hotel A","Florianopolis ","SC",2,"313.02","626.04","2021-10-07","2021-10-09"
205,2,"Hotel CB","Rio de Janeiro ","RJ",2,"165.99","331.98","2021-11-04","2021-11-06"
211,2,"Hotel Z","Aracaju ","SE",3,"208.04","624.12","2021-12-16","2021-12-19"
213,2,"Hotel K","Salvador ","BH",3,"263.41","790.23","2021-12-30","2022-01-02"
214,2,"Hotel AU","Recife ","PE",1,"312.83","312.83","2022-01-06","2022-01-07"
219,2,"Hotel A","Florianopolis ","SC",2,"313.02","626.04","2022-02-10","2022-02-12"
221,2,"Hotel K","Salvador ","BH",1,"263.41","263.41","2022-02-24","2022-02-25"
224,2,"Hotel BP","Brasilia ","DF",3,"247.62","742.86","2022-03-17","2022-03-20"
