"ngb","olympic_paralympic_panamerican","num_events_at_games","ncaa_sport","year","athlete_360","athlete_stipends","coaching_education","covid_athlete_assistance_fund","elite_athlete_health_insurance","high_performance_grants","high_performance_special_grants","national_medical_network","ngb_hpmo_covid_grants","operation_gold","paralympic_sport_development_grants","restricted_grants","sport_science_services","sports_medicine_clinics","facilities_chula_vista_california","facilities_colorado_springs_colorado","facilities_lake_placid_new_york","facilities_salt_lake_city_utah"
"American Canoe Association","Manages both the Olympic and Paralympic sport programs",25,"No",2019,"0","25000","0","0","4039.09","155401.54","10000","0","0","11875","12804","0","11704.19","9227.95","0","0","0","0"
"National Wheelchair Basketball Association","Manages the Paralympic sport program",2,"No",2019,"0","129992","0","0","133532.81","290000","5985","4143.83","0","0","0","0","145652.17","33330.79","0","79120","0","0"
"U.S. Paralympics Cycling","Manages the Paralympic sport program",51,"No",2019,"0","341496.61","0","0","48544.36","1398337.14","0","34710.4","0","126250","12989","0","175562.88","108256.2","25608","252505","0","0"
"U.S. Paralympics Nordic Skiing","Manages the Paralympic sport program",38,"No",2019,"0","44400","0","0","3624.9","789965.56","0","0","0","21875","0","126000","143051.24","7575.18","0","0","8100","0"
"U.S. Paralympics Swimming","Manages the Paralympic sport program",146,"No",2019,"1064.51","379582.7","12500","0","192146.42","961583.59","0","75523.72","0","113750","65000","0","186616.84","114591.8","0","631025","0","0"
"U.S. Paralympics Track & Field","Manages the Paralympic sport program",167,"No",2019,"0","764945","12500","0","235870.71","1653070.23","0","15963.59","0","243750","60000","0","278949.91","149713.09","673959","720","0","0"
"US Association of Blind Athletes","Manages the Paralympic sport program",2,"No",2019,"0","47000","12500","0","13252.72","333747.16","5985","13025.26","0","0","23000","0","130046.58","10192.06","0","0","0","0"
"US Biathlon Association","Manages both the Olympic and Paralympic sport programs",11,"No",2019,"0","90000","0","0","37115.92","868114.2","0","7356.37","0","0","0","25000","110539.59","42558.74","0","0","337340","113000.01"
"US Bowling Congress","Manages the Pan American sport program",4,"Yes",2019,"0","0","0","0","49121.6","400.85","0","0","0","15400","0","0","0","826.38","0","0","0","0"
"US Equestrian Federation","Manages both the Olympic and Paralympic sport programs",17,"Yes (women only)",2019,"0","0","12500","0","68581.8","1296940.44","50000","0","0","0","0","0","0","3718.72","0","0","0","0"
"US Figure Skating","Manages the Olympic sport program",5,"No",2019,"18096.73","327120.6","45000","0","52011.41","1293241.1","0","100428.09","0","28125","0","0","226281.05","68038.88","0","278750","4020","0"
"US Sailing","Manages both the Olympic and Paralympic sport programs",10,"No",2019,"0","225000","15000","0","36843.42","1262197.59","0","9495.95","0","0","0","90000","139149.84","12808.94","0","2520","0","0"
"US Ski and Snowboard Association","Manages the Olympic sport program",55,"Yes",2019,"0","221351.87","212500","0","1033945.03","6000000","0","366012.25","0","127500","0","250000","110539.59","16940.86","0","0","378235","113000.01"
"US Soccer Federation","Manages both the Olympic and Paralympic sport programs",3,"Yes",2019,"0","120000.2","0","0","64760.73","750000","0","18210","0","172500","0","0","0","27408.38","0","0","0","0"
"US Speedskating","Manages the Olympic sport program",23,"No",2019,"0","183950","25000","0","106917.01","1777312.07","50000","63599.31","0","15000","0","0","6502.33","4407.38","0","16020","0","113000.01"
"US Squash","Manages the Pan American sport program",7,"No",2019,"0","0","0","0","0","0","0","0","0","17100","0","0","0","2341.42","0","0","0","0"
"US Tennis Association","Manages both the Olympic and Paralympic sport programs",11,"Yes",2019,"0","0","0","0","28597.8","50000","0","0","0","0","0","0","93633.54","11293.9","36755","10845","0","0"
"USA Archery","Manages both the Olympic and Paralympic sport programs",14,"No",2019,"13838.68","200299.98","12500","0","52586.64","829477.81","0","9481.97","0","30000","0","0","158266.69","61841.01","546364","0","0","0"
"USA Artistic Swimming","Manages the Olympic sport program",2,"No",2019,"0","12000","0","0","17897.34","85263.44","0","0","0","0","0","0","2889.92","2341.42","0","2700","0","0"
"USA Badminton","Manages both the Olympic and Paralympic sport programs",19,"No",2019,"0","14300","7500","0","3650.33","10445.46","0","0","0","3750","0","0","1300.47","9503.41","0","6080","0","0"
"USA Baseball","Manages the Olympic sport program",1,"Yes",2019,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
